A,B,C,D,E,F,G,H,I,J,K,L,M,N,Z
42,"0,97967879062571",5,7,0,6,0,1,"0,6","0,5606","0,83","0,2537",17,33,50
42,"0,860415638247009",5,8,0,6,0,1,"0,62","0,5909","0,78","0,194",27,75,102
42,"0,511822724076849",5,9,0,6,0,1,"0,64","0,6061","0,73","0,2537",61,116,177
42,"0,914225308556106",5,10,0,6,0,1,"0,7","0,6515","0,65","0,2239",110,166,276
42,"0,0460863610156632",5,11,0,6,0,1,"0,7","0,6515","0,65","0,2239",171,178,349
42,"0,611078227156231",5,12,0,6,0,1,"0,72","0,6667","0,58","0,2537",145,213,358
42,"0,579689395807908",5,13,0,6,0,1,"0,72","0,6818","0,62","0,2239",168,217,385
42,"0,0928540045245652",5,14,0,6,0,1,"0,74","0,6818","0,58","0,2239",172,210,382
42,"0,983295333210771",5,15,0,6,0,1,"0,74","0,6818","0,55","0,2239",187,187,374
42,"0,324301972474448",5,16,0,6,0,1,"0,76","0,697","0,55","0,2836",201,201,402
42,"0,0165112678369226",5,17,0,6,0,1,"0,74","0,6818","0,55","0,2985",180,161,341
42,"0,588303865829327",5,18,0,6,0,1,"0,72","0,6818","0,62","0,2537",173,212,385
42,"0,320886124123275",5,19,0,6,0,1,"0,7","0,6515","0,65","0,194",99,153,252
42,"0,295796137754953",5,20,0,6,0,1,"0,7","0,6515","0,65","0,2239",68,128,196
42,"0,00136263988094621",5,21,0,6,0,1,"0,66","0,6212","0,74","0,2985",87,114,201
42,"0,528415157476098",5,22,0,6,0,1,"0,66","0,6061","0,78","0,2239",46,115,161
42,"0,0300173920782942",5,23,0,6,0,1,"0,64","0,5758","0,83","0,194",44,81,125
42,"0,987929245304154",5,0,0,0,0,1,"0,64","0,5758","0,83","0,2239",32,51,83
42,"0,27042873663748",5,1,0,0,0,1,"0,62","0,5606","0,88","0,1642",17,49,66
42,"0,716653791705559",5,2,0,0,0,1,"0,62","0,5606","0,88","0,1045",12,49,61
42,"0,31652438651184",5,3,0,0,0,1,"0,62","0,5606","0,88","0,1045",2,24,26
42,"0,779062665209708",5,4,0,0,0,1,"0,6","0,5455","0,88","0,0896",13,10,23
42,"0,618657539287796",5,5,0,0,0,1,"0,6","0,5152","0,94","0,1642",3,3,6
42,"0,102333023705826",5,6,0,0,0,2,"0,62","0,5606","0,88","0,194",5,10,15
42,"0,650507113003138",5,7,0,0,0,2,"0,62","0,5606","0,88","0,2537",13,17,30
42,"0,74590577367912",5,8,0,0,0,2,"0,62","0,5606","0,88","0,2239",34,62,96
42,"0,369169494166667",5,9,0,0,0,2,"0,62","0,5455","0,94","0,2537",74,78,152
42,"0,779996323039584",5,10,0,0,0,2,"0,66","0,6061","0,83","0,2239",130,121,251
42,"0,324024853711454",5,11,0,0,0,2,"0,66","0,6061","0,83","0,2836",139,180,319
42,"0,82095486900584",5,12,0,0,0,2,"0,7","0,6667","0,74","0,2239",216,186,402
42,"0,785129119405939",5,13,0,0,0,1,"0,72","0,6818","0,7","0,2836",237,181,418
42,"0,4460450310108",5,14,0,0,0,1,"0,74","0,697","0,7","0,2836",183,168,351
42,"0,166853416901341",5,15,0,0,0,1,"0,74","0,697","0,7","0,2985",221,155,376
42,"0,0667398479868465",5,16,0,0,0,1,"0,74","0,697","0,7","0,2836",194,167,361
42,"0,461335795303869",5,17,0,0,0,1,"0,74","0,697","0,7","0,2836",214,169,383
42,"0,538374108565531",5,18,0,0,0,1,"0,72","0,697","0,74","0,2836",151,177,328
42,"0,231601311846643",5,19,0,0,0,1,"0,72","0,697","0,74","0,2537",141,146,287
42,"0,806612110575946",5,20,0,0,0,1,"0,7","0,6667","0,79","0,194",91,128,219
42,"0,540513572776248",5,21,0,0,0,1,"0,68","0,6364","0,83","0,1642",107,122,229
42,"0,0240943598018542",5,22,0,0,0,1,"0,66","0,5909","0,89","0,1343",78,93,171
42,"0,0959728002241506",5,23,0,0,0,1,"0,66","0,5909","0,89","0,1642",48,87,135
42,"0,878796661204882",5,0,1,1,0,1,"0,64","0,5606","0,94","0,194",38,65,103
42,"0,584188824170329",5,1,1,1,0,1,"0,64","0,5606","0,94","0,1343",26,53,79
42,"0,739086230345741",5,2,1,1,0,1,"0,64","0,5606","0,94","0,194",17,28,45
42,"0,354043923603191",5,3,1,1,0,1,"0,64","0,5606","0,94","0,194",10,8,18
42,"0,458271817023212",5,4,1,1,0,1,"0,62","0,5455","0,94","0,1642",2,4,6
42,"0,784672504150334",5,5,1,1,0,2,"0,62","0,5455","0,94","0,1045",1,6,7
42,"0,833735277298234",5,6,1,1,0,2,"0,64","0,5606","0,94","0,0896",6,10,16
42,"0,537645541335149",5,7,1,1,0,2,"0,64","0,5606","0,94",0,12,19,31
42,"0,553316934020091",5,8,1,1,0,2,"0,66","0,5909","0,89","0,1045",36,58,94
42,"0,716839134411306",5,9,1,1,0,1,"0,72","0,697","0,74","0,0896",47,81,128
42,"0,210280225442849",5,10,1,1,0,1,"0,8","0,7576","0,55","0,2537",116,153,269
42,"0,136132828726724",5,11,1,1,0,1,"0,82","0,7727","0,52",0,153,168,321
42,"0,999708883984258",5,12,1,1,0,1,"0,86","0,803","0,47","0,1045",179,187,366
42,"0,397538811883303",5,13,1,1,0,1,"0,86","0,7879","0,44","0,0896",133,217,350
42,"0,773015085988703",5,14,1,1,0,1,"0,88","0,803","0,39",0,142,185,327
42,"0,552492188420783",5,15,1,1,0,1,"0,88","0,803","0,39","0,2537",132,179,311
42,"0,763005560090466",5,16,1,1,0,1,"0,88","0,7879","0,37","0,2836",101,208,309
42,"0,124539418928911",5,17,1,1,0,1,"0,86","0,7879","0,41","0,2239",102,202,304
42,"0,274185605576642",5,18,1,1,0,1,"0,86","0,7879","0,41","0,1642",77,172,249
42,"0,498348582862241",5,19,1,1,0,2,"0,52","0,5","0,48","0,1045",68,157,225
42,"0,267496719699505",5,20,1,1,0,1,"0,76","0,7121","0,58",0,69,168,237
42,"0,641743475574275",5,21,1,1,0,1,"0,74","0,697","0,7","0,1343",42,107,149
42,"0,374433621427611",5,22,1,1,0,1,"0,72","0,697","0,74","0,1642",26,80,106
42,"0,29846130928309",5,23,1,1,0,1,"0,7","0,6667","0,84","0,1045",14,34,48
42,"0,502332476201199",5,0,0,2,1,1,"0,7","0,6667","0,79","0,0896",9,20,29
42,"0,931656402104806",5,1,0,2,1,1,"0,68","0,6364","0,89","0,0896",8,9,17
42,"0,243277372061996",5,2,0,2,1,2,"0,66","0,5909","0,94","0,1343",5,7,12
42,"0,235187073310735",5,3,0,2,1,2,"0,64","0,5606","0,94",0,1,3,4
42,"0,0528484546577852",5,4,0,2,1,1,"0,66","0,6061","0,83","0,0896",0,3,3
42,"0,469581435585642",5,5,0,2,1,1,"0,66","0,6061","0,83","0,0896",0,26,26
42,"0,20388405303097",5,6,0,2,1,1,"0,68","0,6364","0,79","0,0896",11,98,109
42,"0,79026492754744",5,7,0,2,1,1,"0,74","0,697","0,66","0,1045",16,219,235
42,"0,74682497475321",5,8,0,2,1,1,"0,78","0,7424","0,59","0,1343",34,372,406
42,"0,203151664020259",5,9,0,2,1,1,"0,8","0,7576","0,55","0,1343",22,153,175
42,"0,28858966901762",5,10,0,2,1,1,"0,82","0,7879","0,56","0,1343",37,72,109
42,"0,860651280011046",5,11,0,2,1,1,"0,86","0,803","0,47",0,28,78,106
42,"0,901014411629047",5,12,0,2,1,1,"0,86","0,803","0,47","0,1343",37,125,162
42,"0,240503231754429",5,13,0,2,1,1,"0,9","0,8333","0,39","0,1642",37,110,147
42,"0,979762909318953",5,14,0,2,1,1,"0,9","0,8182","0,37",0,41,99,140
42,"0,187180246655289",5,15,0,2,1,1,"0,9","0,8182","0,37","0,1642",42,133,175
42,"0,822742205957925",5,16,0,2,1,1,"0,9","0,8333","0,39","0,1343",44,205,249
42,"0,160250212356256",5,17,0,2,1,1,"0,84","0,803","0,53","0,2239",67,428,495
42,"0,613724782356293",5,18,0,2,1,1,"0,84","0,803","0,53","0,194",55,362,417
42,"0,169213485646448",5,19,0,2,1,1,"0,78","0,7424","0,62","0,1045",39,246,285
42,"0,179041134119825",5,20,0,2,1,1,"0,78","0,7424","0,62","0,1045",38,213,251
42,"0,127018523583709",5,21,0,2,1,1,"0,76","0,7273","0,66","0,1045",45,165,210
42,"0,865507765433914",5,22,0,2,1,1,"0,74","0,697","0,7","0,1642",42,117,159
42,"0,942129881780165",5,23,0,2,1,1,"0,72","0,697","0,79","0,0896",15,46,61
42,"0,0599752450866979",6,0,0,3,1,1,"0,7","0,6667","0,79","0,1642",9,25,34
42,"0,835607724531672",6,1,0,3,1,1,"0,7","0,6667","0,84","0,2537",8,9,17
42,"0,569147122529148",6,2,0,3,1,1,"0,7","0,6667","0,79","0,1642",0,3,3
42,"0,435881362877685",6,3,0,3,1,1,"0,68","0,6364","0,89","0,194",0,6,6
42,"0,383316960853032",6,4,0,3,1,2,"0,68","0,6364","0,89","0,2239",0,4,4
42,"0,780366437372455",6,5,0,3,1,2,"0,66","0,5909","0,89","0,0896",2,19,21
42,"0,2984190093952",6,6,0,3,1,2,"0,68","0,6364","0,89","0,0896",7,121,128
42,"0,795035253169575",6,7,0,3,1,2,"0,7","0,6667","0,79","0,1642",19,265,284
42,"0,0426947251048704",6,8,0,3,1,2,"0,72","0,697","0,79","0,194",37,417,454
42,"0,100154076555642",6,9,0,3,1,2,"0,74","0,7121","0,74","0,2239",34,173,207
42,"0,129279680339894",6,10,0,3,1,2,"0,76","0,7424","0,75","0,2537",31,84,115
42,"0,922553231584929",6,11,0,3,1,2,"0,82","0,803","0,59","0,2239",26,86,112
42,"0,546169531785999",6,12,0,3,1,1,"0,86","0,8333","0,53",0,32,137,169
42,"0,793760182065023",6,13,0,3,1,1,"0,9","0,8182","0,37","0,194",29,125,154
42,"0,871092952174361",6,14,0,3,1,1,"0,9","0,8182","0,37","0,2537",40,105,145
42,"0,535169626250725",6,15,0,3,1,1,"0,9","0,8333","0,39","0,2985",25,127,152
42,"0,96881000054439",6,16,0,3,1,1,"0,86","0,803","0,47","0,2985",39,227,266
42,"0,820386614177249",6,17,0,3,1,1,"0,86","0,803","0,47","0,2985",52,434,486
42,"0,409696814278973",6,18,0,3,1,3,"0,82","0,7879","0,56","0,3881",31,278,309
42,"0,584967542914376",6,19,0,3,1,2,"0,74","0,7121","0,79","0,1642",16,248,264
42,"0,701877612702825",6,20,0,3,1,2,"0,74","0,7121","0,79","0,2537",23,233,256
42,"0,642585835300152",6,21,0,3,1,1,"0,74","0,697","0,7","0,2836",29,161,190
42,"0,734914248197734",6,22,0,3,1,1,"0,74","0,697","0,66","0,1343",14,115,129
42,"0,732514011103432",6,23,0,3,1,1,"0,74","0,6667","0,51","0,1642",10,59,69
42,"0,313700471676256",6,0,0,4,1,1,"0,74","0,6515","0,4","0,3582",11,31,42
42,"0,595602884305182",6,1,0,4,1,1,"0,72","0,6515","0,38","0,1045",3,12,15
42,"0,935155251056245",6,2,0,4,1,1,"0,7","0,6364","0,39",0,0,6,6
42,"0,0158321001513884",6,3,0,4,1,1,"0,66","0,6212","0,44","0,1045",0,4,4
42,"0,0905446138492493",6,4,0,4,1,1,"0,66","0,6212","0,41","0,194",0,3,3
42,"0,732325155395217",6,5,0,4,1,1,"0,66","0,6212","0,39","0,2239",3,28,31
42,"0,4030657583416",6,6,0,4,1,1,"0,66","0,6212","0,39","0,1343",7,106,113
42,"0,0847684688891975",6,7,0,4,1,1,"0,7","0,6364","0,34","0,2537",19,285,304
42,"0,716377053474666",6,8,0,4,1,1,"0,7","0,6364","0,32","0,2985",25,442,467
42,"0,843024429487369",6,9,0,4,1,1,"0,72","0,6364","0,26","0,3582",28,197,225
42,"0,0899939037469532",6,10,0,4,1,1,"0,72","0,6515","0,28","0,4925",33,106,139
42,"0,392159030181302",6,11,0,4,1,1,"0,74","0,6515","0,28","0,3881",42,123,165
42,"0,568749536105657",6,12,0,4,1,1,"0,76","0,6667","0,25","0,4627",39,193,232
42,"0,556661886183168",6,13,0,4,1,1,"0,8","0,6818","0,24","0,3582",35,168,203
42,"0,817309450969229",6,14,0,4,1,1,"0,78","0,6667","0,24","0,3284",43,142,185
42,"0,641309235463511",6,15,0,4,1,1,"0,8","0,6818","0,21","0,3881",44,144,188
42,"0,488264026132818",6,16,0,4,1,1,"0,8","0,6818","0,22","0,4925",63,255,318
42,"0,995577767513328",6,17,0,4,1,1,"0,76","0,6515","0,2","0,5224",88,484,572
42,"0,23531723042594",6,18,0,4,1,1,"0,74","0,6515","0,22","0,3881",74,451,525
42,"0,296730291918443",6,19,0,4,1,1,"0,72","0,6364","0,23","0,2985",58,321,379
42,"0,49422110286304",6,20,0,4,1,1,"0,7","0,6364","0,24","0,194",51,286,337
42,"0,791832927154927",6,21,0,4,1,1,"0,66","0,6212","0,31","0,194",33,215,248
42,"0,221123702541438",6,22,0,4,1,1,"0,64","0,6212","0,33","0,2537",14,141,155
42,"0,635298562727631",6,23,0,4,1,1,"0,62","0,6212","0,35","0,2239",23,89,112
42,"0,212232285561268",6,0,0,5,1,1,"0,62","0,6212","0,38","0,2836",15,53,68
42,"0,0922324272125061",6,1,0,5,1,1,"0,6","0,6212","0,38","0,3582",7,15,22
42,"0,579962626127083",6,2,0,5,1,1,"0,56","0,5303","0,43","0,2239",0,12,12
42,"0,311735867613879",6,3,0,5,1,1,"0,54","0,5152","0,49","0,2239",0,5,5
42,"0,45104010856991",6,4,0,5,1,1,"0,52","0,5","0,48","0,3284",1,5,6
42,"0,813540603877278",6,5,0,5,1,1,"0,52","0,5","0,48","0,3582",4,24,28
42,"0,933087578368284",6,6,0,5,1,1,"0,54","0,5152","0,45","0,2985",8,98,106
42,"0,544304782106889",6,7,0,5,1,1,"0,54","0,5152","0,45","0,2537",25,252,277
42,"0,348011845564086",6,8,0,5,1,2,"0,56","0,5303","0,43","0,3284",31,471,502
42,"0,654828278395557",6,9,0,5,1,1,"0,58","0,5455","0,4","0,1642",36,194,230
42,"0,612366157503748",6,10,0,5,1,1,"0,62","0,6212","0,33","0,2537",54,107,161
42,"0,633255258063639",6,11,0,5,1,1,"0,64","0,6212","0,31","0,3284",57,135,192
42,"0,530092437551645",6,12,0,5,1,1,"0,66","0,6212","0,27","0,2836",51,208,259
42,"0,497476808897066",6,13,0,5,1,1,"0,68","0,6212","0,26","0,2537",58,190,248
42,"0,516477321604263",6,14,0,5,1,1,"0,7","0,6364","0,28","0,2836",66,174,240
42,"0,117164592646039",6,15,0,5,1,1,"0,7","0,6364","0,28","0,2836",56,156,212
42,"0,229709754205155",6,16,0,5,1,1,"0,72","0,6364","0,26","0,3284",63,286,349
42,"0,132801698573231",6,17,0,5,1,1,"0,72","0,6364","0,25","0,2836",73,485,558
42,"0,180603739515352",6,18,0,5,1,1,"0,7","0,6364","0,24","0,2985",76,488,564
42,"0,0569350371658381",6,19,0,5,1,1,"0,68","0,6212","0,26","0,2836",53,338,391
42,"0,0359588283252114",6,20,0,5,1,1,"0,64","0,6212","0,29","0,1642",57,236,293
42,"0,0515786234975088",6,21,0,5,1,1,"0,64","0,6212","0,29","0,1045",51,196,247
42,"0,363225723321359",6,22,0,5,1,1,"0,62","0,6212","0,35",0,26,145,171
42,"0,780751337307011",6,23,0,5,1,1,"0,58","0,5455","0,46","0,1045",30,141,171
42,"0,157193617625327",6,0,0,6,0,1,"0,56","0,5303","0,52",0,24,69,93
42,"0,282354034848186",6,1,0,6,0,1,"0,54","0,5152","0,64","0,1045",14,80,94
42,"0,807712965900964",6,2,0,6,0,1,"0,54","0,5152","0,56","0,194",18,41,59
42,"0,520219804350532",6,3,0,6,0,1,"0,52","0,5","0,59","0,1045",8,10,18
42,"0,156651421074978",6,4,0,6,0,1,"0,52","0,5","0,59","0,0896",4,11,15
42,"0,797499940012284",6,5,0,6,0,1,"0,5","0,4848","0,64",0,3,5,8
42,"0,834184316447796",6,6,0,6,0,1,"0,54","0,5152","0,6",0,11,17,28
42,"0,118304301679938",6,7,0,6,0,1,"0,56","0,5303","0,56",0,27,60,87
42,"0,685209681832381",6,8,0,6,0,1,"0,6","0,6212","0,46","0,0896",29,96,125
42,"0,0763812088390679",6,9,0,6,0,1,"0,62","0,6212","0,43","0,1343",55,169,224
42,"0,320286173281143",6,10,0,6,0,1,"0,64","0,6212","0,38","0,1045",115,202,317
42,"0,458736612578339",6,11,0,6,0,1,"0,66","0,6212","0,36","0,1343",120,249,369
42,"0,0462438250753316",6,12,0,6,0,1,"0,7","0,6364","0,32","0,1642",150,270,420
42,"0,0467238746045562",6,13,0,6,0,1,"0,74","0,6515","0,28","0,1343",188,268,456
42,"0,640718176424249",6,14,0,6,0,1,"0,74","0,6515","0,33","0,2239",193,258,451
42,"0,342053653914712",6,15,0,6,0,2,"0,74","0,6515","0,27","0,4179",180,224,404
42,"0,686396771797026",6,16,0,6,0,2,"0,72","0,6515","0,3","0,1343",168,272,440
42,"0,09732160660827",6,17,0,6,0,2,"0,72","0,6515","0,34","0,2537",142,202,344
42,"0,38863296606601",6,18,0,6,0,2,"0,74","0,6515","0,3","0,1642",127,214,341
42,"0,229837592541701",6,19,0,6,0,2,"0,7","0,6364","0,39","0,0896",79,206,285
42,"0,813422132878276",6,20,0,6,0,2,"0,7","0,6515","0,48","0,0896",90,149,239
42,"0,529190691931645",6,21,0,6,0,2,"0,66","0,6212","0,47","0,1045",46,139,185
42,"0,0359937475981113",6,22,0,6,0,1,"0,64","0,6212","0,57","0,2239",49,141,190
42,"0,299847343298599",6,23,0,6,0,2,"0,64","0,6212","0,57",0,29,121,150
42,"0,29081110846578",6,0,0,0,0,1,"0,64","0,6212","0,57","0,0896",23,90,113
42,"0,387831799161375",6,1,0,0,0,2,"0,64","0,6212","0,61","0,1642",26,70,96
42,"0,483619145565815",6,2,0,0,0,2,"0,64","0,6212","0,61","0,1642",16,48,64
42,"0,0356966717773553",6,3,0,0,0,2,"0,62","0,6061","0,65","0,1642",22,25,47
42,"0,663872301116698",6,4,0,0,0,2,"0,62","0,6061","0,65","0,1642",4,8,12
42,"0,669855113996452",6,5,0,0,0,2,"0,62","0,6061","0,61","0,1343",1,5,6
42,"0,383515159404063",6,6,0,0,0,2,"0,62","0,6061","0,61","0,1045",10,11,21
42,"0,777363382037659",6,7,0,0,0,2,"0,6","0,5909","0,73","0,2537",8,19,27
42,"0,427162378170289",6,8,0,0,0,2,"0,6","0,5909","0,73","0,2537",24,74,98
42,"0,218158058249357",6,9,0,0,0,2,"0,6","0,5758","0,78","0,194",53,111,164
42,"0,830201535382435",6,10,0,0,0,2,"0,62","0,5909","0,73","0,0896",83,168,251
42,"0,496917311106091",6,11,0,0,0,2,"0,64","0,6061","0,69","0,1045",121,214,335
42,"0,4307153791027",6,12,0,0,0,2,"0,64","0,6061","0,69","0,1045",123,212,335
42,"0,110175579655105",6,13,0,0,0,1,"0,66","0,6212","0,65","0,1045",154,213,367
42,"0,629471375370019",6,14,0,0,0,1,"0,7","0,6515","0,58","0,1642",161,224,385
42,"0,399718693710945",6,15,0,0,0,1,"0,7","0,6515","0,54",0,161,256,417
42,"0,529888658503509",6,16,0,0,0,1,"0,72","0,6667","0,51","0,0896",138,260,398
42,"0,475248111368291",6,17,0,0,0,1,"0,74","0,6667","0,51",0,126,264,390
42,"0,191113482956327",6,18,0,0,0,1,"0,7","0,6515","0,58","0,1045",124,239,363
42,"0,899612240504048",6,19,0,0,0,1,"0,68","0,6364","0,65","0,1642",108,249,357
42,"0,444916011483557",6,20,0,0,0,1,"0,66","0,6212","0,69","0,194",84,195,279
42,"0,502496234340074",6,21,0,0,0,1,"0,64","0,6061","0,73","0,1642",54,111,165
42,"0,382548884953246",6,22,0,0,0,1,"0,64","0,5909","0,78","0,2239",36,94,130
42,"0,549960156457906",6,23,0,0,0,1,"0,62","0,5909","0,78","0,1343",25,61,86
42,"0,868065565287075",6,0,0,1,1,1,"0,62","0,5909","0,78","0,1343",11,18,29
42,"0,85475654807347",6,1,0,1,1,1,"0,6","0,5606","0,83","0,1343",9,5,14
42,"0,165023517987372",6,2,0,1,1,1,"0,58","0,5455","0,88","0,1045",4,4,8
42,"0,456274905686204",6,3,0,1,1,1,"0,58","0,5455","0,88",0,2,3,5
42,"0,848094973933215",6,4,0,1,1,1,"0,56","0,5303","0,94","0,1045",4,4,8
42,"0,761086779503316",6,5,0,1,1,1,"0,56","0,5303","0,88","0,0896",7,24,31
42,"0,851747495571335",6,6,0,1,1,1,"0,58","0,5455","0,88",0,11,101,112
42,"0,354888163091648",6,7,0,1,1,1,"0,62","0,5909","0,78","0,1045",18,281,299
42,"0,0956181728962826",6,8,0,1,1,1,"0,64","0,6061","0,73","0,0896",28,410,438
42,"0,665240892978317",6,9,0,1,1,1,"0,7","0,6515","0,58","0,1642",26,162,188
42,"0,1749618671991",6,10,0,1,1,1,"0,72","0,6667","0,51","0,2239",31,64,95
42,"0,417575586184382",6,11,0,1,1,1,"0,74","0,6667","0,42","0,1343",39,72,111
42,"0,624079677452715",6,12,0,1,1,1,"0,76","0,6667","0,37","0,1642",25,128,153
42,"0,909853516032864",6,13,0,1,1,1,"0,78","0,6818","0,35",0,28,152,180
42,"0,0181664594279573",6,14,0,1,1,1,"0,78","0,6818","0,31","0,1343",46,99,145
42,"0,839735524099459",6,15,0,1,1,1,"0,8","0,697","0,29","0,194",38,127,165
42,"0,544306012906127",6,16,0,1,1,1,"0,76","0,6667","0,33","0,1343",34,233,267
42,"0,476112861946783",6,17,0,1,1,1,"0,78","0,6818","0,33","0,2836",63,516,579
42,"0,631339704710592",6,18,0,1,1,1,"0,76","0,6667","0,31","0,1343",56,500,556
42,"0,913751376158714",6,19,0,1,1,1,"0,72","0,6667","0,54","0,194",64,343,407
42,"0,831093239771698",6,20,0,1,1,1,"0,68","0,6364","0,61","0,1343",59,277,336
42,"0,890886486869327",6,21,0,1,1,1,"0,66","0,6212","0,57","0,0896",29,160,189
42,"0,191593731585127",6,22,0,1,1,1,"0,66","0,6212","0,61","0,0896",36,137,173
42,"0,298683353759753",6,23,0,1,1,1,"0,64","0,6061","0,69","0,0896",5,55,60
42,"0,585839159605752",6,0,0,2,1,1,"0,64","0,6061","0,65","0,0896",5,15,20
42,"0,912491969737991",6,1,0,2,1,1,"0,62","0,6061","0,69","0,1343",2,2,4
42,"0,357495695518787",6,2,0,2,1,1,"0,6","0,5909","0,73","0,0896",3,2,5
42,"0,91672851926761",6,3,0,2,1,1,"0,6","0,5909","0,73","0,0896",1,1,2
42,"0,497198650003514",6,4,0,2,1,1,"0,58","0,5455","0,83","0,1343",2,3,5
42,"0,853815156224489",6,5,0,2,1,1,"0,58","0,5455","0,88","0,1642",2,30,32
42,"0,197833660039422",6,6,0,2,1,1,"0,6","0,5758","0,78","0,1343",10,116,126
42,"0,91127310346928",6,7,0,2,1,2,"0,64","0,6061","0,69","0,194",23,311,334
42,"0,529316474781771",6,8,0,2,1,2,"0,68","0,6364","0,61","0,1343",45,432,477
42,"0,0983666246907533",6,9,0,2,1,2,"0,72","0,6667","0,58","0,2239",27,190,217
42,"0,393625981786385",6,10,0,2,1,2,"0,76","0,6818","0,48","0,194",37,86,123
42,"0,883576752583418",6,11,0,2,1,2,"0,76","0,697","0,52","0,2537",38,113,151
42,"0,462311638925363",6,12,0,2,1,2,"0,8","0,7273","0,46","0,2836",42,141,183
42,"0,799970235541038",6,13,0,2,1,2,"0,8","0,7273","0,43","0,2537",55,141,196
42,"0,0647779628928748",6,14,0,2,1,2,"0,8","0,7273","0,43","0,2836",34,112,146
42,"0,625314961149579",6,15,0,2,1,2,"0,82","0,7424","0,41","0,3284",56,127,183
42,"0,446338808091943",6,16,0,2,1,1,"0,8","0,7121","0,38","0,2239",55,253,308
42,"0,0168658806373038",6,17,0,2,1,1,"0,8","0,7273","0,43","0,2537",64,475,539
42,"0,395826283547355",6,18,0,2,1,1,"0,78","0,697","0,46","0,2836",72,479,551
42,"0,43108567631736",6,19,0,2,1,1,"0,76","0,6818","0,48","0,2537",69,355,424
42,"0,0988375357918159",6,20,0,2,1,1,"0,74","0,6818","0,56","0,1343",45,301,346
42,"0,563830217894801",6,21,0,2,1,1,"0,72","0,6818","0,7","0,1343",31,187,218
42,"0,213995175359952",6,22,0,2,1,1,"0,7","0,6515","0,65","0,1343",27,126,153
42,"0,132003028058573",6,23,0,2,1,1,"0,68","0,6364","0,79","0,1045",18,72,90
42,"0,656280880807467",6,0,0,3,1,1,"0,66","0,5909","0,89","0,1343",12,29,41
42,"0,00862576569612532",6,1,0,3,1,1,"0,66","0,6061","0,78",0,3,20,23
42,"0,423370187010214",6,2,0,3,1,1,"0,64","0,5758","0,89","0,0896",0,7,7
42,"0,213115631384617",6,3,0,3,1,1,"0,64","0,5758","0,89","0,0896",2,1,3
42,"0,123626364119093",6,4,0,3,1,1,"0,62","0,5758","0,83",0,0,6,6
42,"0,656375820916397",6,5,0,3,1,1,"0,62","0,5606","0,88",0,0,21,21
42,"0,955035393965506",6,6,0,3,1,1,"0,64","0,5758","0,89","0,1343",13,103,116
42,"0,60891519022677",6,7,0,3,1,1,"0,66","0,6212","0,74","0,1045",24,329,353
42,"0,0094093232255849",6,8,0,3,1,1,"0,76","0,7121","0,58","0,1642",46,435,481
42,"0,671536271283237",6,9,0,3,1,1,"0,76","0,7121","0,58","0,1642",34,168,202
42,"0,696936392555108",6,10,0,3,1,1,"0,82","0,7424","0,43","0,2239",27,63,90
42,"0,947098156842146",6,11,0,3,1,1,"0,84","0,7576","0,41","0,194",28,106,134
42,"0,0159605186908765",6,12,0,3,1,1,"0,88","0,8182","0,42","0,1343",15,134,149
42,"0,713183356430589",6,13,0,3,1,1,"0,9","0,8485","0,42",0,20,116,136
42,"0,242875335109007",6,14,0,3,1,1,"0,92","0,8788","0,4","0,2537",44,111,155
42,"0,521347857751465",6,15,0,3,1,1,"0,92","0,8788","0,4","0,1642",28,100,128
42,"0,609318782417749",6,16,0,3,1,1,"0,92","0,8788","0,4","0,2239",34,199,233
42,"0,812510579783808",6,17,0,3,1,1,"0,92","0,8485","0,35","0,2239",80,426,506
42,"0,0649233453370069",6,18,0,3,1,1,"0,9","0,8182","0,37","0,2239",61,398,459
42,"0,527710644125822",6,19,0,3,1,1,"0,82","0,803","0,59","0,1343",61,323,384
42,"0,680854607882294",6,20,0,3,1,1,"0,8","0,7879","0,63","0,1343",55,225,280
42,"0,257768182279683",6,21,0,3,1,1,"0,8","0,803","0,66","0,1343",34,168,202
42,"0,950542803898644",6,22,0,3,1,1,"0,76","0,7424","0,75","0,1642",37,139,176
42,"0,265784857445411",6,23,0,3,1,1,"0,76","0,7424","0,75","0,194",18,98,116
42,"0,507112505672323",6,0,0,4,1,2,"0,74","0,7121","0,79","0,1343",7,40,47
42,"0,567654377078798",6,1,0,4,1,1,"0,74","0,7121","0,79","0,1045",3,13,16
42,"0,843024408662935",6,2,0,4,1,2,"0,72","0,7121","0,84","0,1642",0,6,6
42,"0,644761456326149",6,3,0,4,1,2,"0,72","0,7121","0,84","0,1045",0,2,2
42,"0,399219140180487",6,4,0,4,1,2,"0,72","0,697","0,79","0,0896",2,4,6
42,"0,278038180549498",6,5,0,4,1,2,"0,7","0,6667","0,84",0,1,19,20
42,"0,11777723747859",6,6,0,4,1,2,"0,72","0,7121","0,84","0,0896",13,105,118
42,"0,389270301304021",6,7,0,4,1,2,"0,72","0,697","0,79","0,1343",31,283,314
42,"0,240009513887118",6,8,0,4,1,2,"0,76","0,7273","0,7","0,1045",32,400,432
42,"0,764586931923357",6,9,0,4,1,1,"0,84","0,7879","0,49",0,20,148,168
42,"0,931601231555293",6,10,0,4,1,1,"0,86","0,8182","0,5","0,2836",20,74,94
42,"0,582320621411739",6,11,0,4,1,1,"0,9","0,8485","0,42","0,2239",36,82,118
